"first_name","last_name","email","job_field","donation","donation_frequency"
"Nefen","Rogerson","nrogerson0@tumblr.com","Human Resources","28","Weekly"
"Trudie","Codner","tcodner4@newyorker.com","Business Development","219","Weekly"
"Valentia","Padwick","vpadwick5@amazonaws.com","Engineering","100","Weekly"
"Kathi","Sissens","ksissensb@theglobeandmail.com","Accounting","423","Weekly"
"Joanie","Broadhurst","jbroadhurstd@youku.com","Sales","58","Weekly"
"Jan","Pelman","jpelmanf@histats.com","Engineering","468","Weekly"
"Yehudit","Sainer","ysainerl@vk.com","Marketing","324","Weekly"
"Reece","Paten","rpatenm@mediafire.com","Human Resources","434","Weekly"
"Mycah","Yarrow","myarrown@comsenz.com","Business Development","453","Weekly"
"Taylor","Ramsey","tramseyo@forbes.com","Research and Development","140","Weekly"
"Manny","Twiddy","mtwiddyr@epa.gov","Marketing","420","Weekly"
"Tonye","Brixey","tbrixeyt@yahoo.com","Marketing","192","Weekly"
"Zolly","Daw","zdaw14@webnode.com","Support","259","Weekly"
"Evania","Pavel","epavel16@alibaba.com","Services","97","Weekly"
"Dion","Sample","dsample19@census.gov","Accounting","91","Weekly"
"Ethelbert","Galton","egalton1e@sbwire.com","Engineering","387","Weekly"
"Maxim","Varker","mvarker1j@baidu.com","Research and Development","326","Weekly"
"Lorrayne","Shafier","lshafier1n@microsoft.com","Legal","261","Weekly"
"Cele","Lammin","clammin1r@surveymonkey.com","Research and Development","182","Weekly"
"Talya","McKechnie","tmckechnie22@feedburner.com","Business Development","40","Weekly"
